"dataset_name","function_name","id","episode_id","input","output","output_schema","tags","auxiliary","is_deleted","updated_at"
"bar","ask_question","01942e26-dc4a-7041-9a88-0a1808246a76","01942e26-4693-7e80-8591-47b98e25d721","{""system"":{""remaining_questions"":17},""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a living thing?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]},{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it commonly found indoors?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]},{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a natural object, like a rock or tree?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""yes.""}]},{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a large natural object, like a mountain or a tree?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]}]}","{""raw"":""{\n  \""thinking\"": \""The object is not large, and since it is a natural object, it is likely something small. It could be something like a pebble, leaf, or flower. To narrow it down further, I will ask if it is a type of mineral or rock.\"",\n  \""question\"": \""Is it a type of mineral or rock?\""\n}"",""parsed"":{""thinking"":""The object is not large, and since it is a natural object, it is likely something small. It could be something like a pebble, leaf, or flower. To narrow it down further, I will ask if it is a type of mineral or rock."",""question"":""Is it a type of mineral or rock?""}}","{""type"":""object"",""properties"":{""thinking"":{""type"":""string""},""question"":{""type"":""string""}},""required"":[""thinking"",""question""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:26:06"
"bar","ask_question","01942e26-9824-7d00-a708-28b85afcfacb","01942e26-4693-7e80-8591-47b98e25d721","{""system"":{""remaining_questions"":20},""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a living thing?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]}]}","{""raw"":""{\""thinking\"":\""The answer is 'no', indicating that the secret is not a living thing, meaning we are looking for a physical object. This narrows down our possibilities to inanimate objects. Since it could be anything from furniture to tools to everyday items, the next logical step is to narrow down the category further. I will focus on whether the object is something commonly found indoors.\"",\""question\"":\""Is it commonly found indoors?\""}"",""parsed"":{""thinking"":""The answer is 'no', indicating that the secret is not a living thing, meaning we are looking for a physical object. This narrows down our possibilities to inanimate objects. Since it could be anything from furniture to tools to everyday items, the next logical step is to narrow down the category further. I will focus on whether the object is something commonly found indoors."",""question"":""Is it commonly found indoors?""}}","{""type"":""object"",""properties"":{""thinking"":{""type"":""string""},""question"":{""type"":""string""}},""required"":[""thinking"",""question""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:26:06"
"bar","ask_question","01942e26-b07c-79d1-ab83-4087f2128c2b","01942e26-4693-7e80-8591-47b98e25d721","{""system"":{""remaining_questions"":19},""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a living thing?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]},{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it commonly found indoors?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]}]}","{""raw"":""{\n  \""thinking\"": \""Since the object is not a living thing and it's not commonly found indoors, it likely has an outdoor presence. This narrows down the possibilities significantly. Now I want to identify whether it belongs to a specific category of outdoor items or if it is something more general, like a natural element.\"",\n  \""question\"": \""Is it a natural object, like a rock or tree?\""\n}"",""parsed"":{""thinking"":""Since the object is not a living thing and it's not commonly found indoors, it likely has an outdoor presence. This narrows down the possibilities significantly. Now I want to identify whether it belongs to a specific category of outdoor items or if it is something more general, like a natural element."",""question"":""Is it a natural object, like a rock or tree?""}}","{""type"":""object"",""properties"":{""thinking"":{""type"":""string""},""question"":{""type"":""string""}},""required"":[""thinking"",""question""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:26:06"
"bar","ask_question","01942e26-761a-7862-b7bf-4306a307e7cd","01942e26-4693-7e80-8591-47b98e25d721","{""system"":{""remaining_questions"":21},""messages"":[]}","{""raw"":""{\n  \""thinking\"": \""To start narrowing down the secret, I need to determine the category of the object or living thing. Since 21 Questions starts broad, a good first question would be about whether it’s alive or not. Knowing if it's living or non-living will help me refine my subsequent questions and guesses effectively.\"",\n  \""question\"": \""Is it a living thing?\""\n}"",""parsed"":{""thinking"":""To start narrowing down the secret, I need to determine the category of the object or living thing. Since 21 Questions starts broad, a good first question would be about whether it’s alive or not. Knowing if it's living or non-living will help me refine my subsequent questions and guesses effectively."",""question"":""Is it a living thing?""}}","{""type"":""object"",""properties"":{""thinking"":{""type"":""string""},""question"":{""type"":""string""}},""required"":[""thinking"",""question""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:26:06"
"bar","ask_question","01942e26-c48c-7720-b971-a1f7a3a9ac98","01942e26-4693-7e80-8591-47b98e25d721","{""system"":{""remaining_questions"":18},""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a living thing?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]},{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it commonly found indoors?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""no.""}]},{""role"":""user"",""content"":[{""type"":""text"",""value"":""Is it a natural object, like a rock or tree?""}]},{""role"":""assistant"",""content"":[{""type"":""text"",""value"":""yes.""}]}]}","{""raw"":""{\n  \""thinking\"": \""Since the object is not a living thing and is not commonly found indoors, but is a natural object, it narrows down the possibilities to various elements from nature. It could be a rock, a tree, or potentially something like a mountain or a river. To further narrow it down, I will ask if it is a large object or a small object.\"",\n  \""question\"": \""Is it a large natural object, like a mountain or a tree?\""\n}"",""parsed"":{""thinking"":""Since the object is not a living thing and is not commonly found indoors, but is a natural object, it narrows down the possibilities to various elements from nature. It could be a rock, a tree, or potentially something like a mountain or a river. To further narrow it down, I will ask if it is a large object or a small object."",""question"":""Is it a large natural object, like a mountain or a tree?""}}","{""type"":""object"",""properties"":{""thinking"":{""type"":""string""},""question"":{""type"":""string""}},""required"":[""thinking"",""question""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:26:06"
"foo","extract_entities","01939885-f868-7f62-8168-30258afebfeb","0192ced0-949d-7063-900d-a4c7f1661358","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Mexican army attacked in Michoacan state - report .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""Michoacan\""],\""miscellaneous\"":[\""Mexican\""]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""Michoacan""],""miscellaneous"":[""Mexican""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","019368c7-d150-7ba0-819a-88a2cec33663","0192ced0-a2ae-75f2-b3d4-d286e486f1d4","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4""}]}]}","{""raw"":""{\n    \""person\"": [\""Sjeng Schalken\"", \""David Rikl\""],\n    \""organization\"": [],\n    \""location\"": [\""Netherlands\"", \""Czech Republic\""],\n    \""miscellaneous\"": []\n}"",""parsed"":{""person"":[""Sjeng Schalken"",""David Rikl""],""organization"":[],""location"":[""Netherlands"",""Czech Republic""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936737-1760-71c2-81d9-4328e363e5b1","0192ced0-a2c7-7c83-96e1-be14a1ecbaac","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""One out later , Gonzalez smacked his 40th homer , extending his hitting streak to 20 games .""}]}]}","{""raw"":""{\""person\"":[\""Gonzalez\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Gonzalez""],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01935536-bd18-76b1-830a-ba0872ba0511","0192ced0-a2b0-7be1-afe6-50d37d5a3cb7","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""One out later , Gonzalez smacked his 40th homer , extending his hitting streak to 20 games .""}]}]}","{""raw"":""{\""person\"":[\""Gonzalez\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Gonzalez""],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","019376de-5ac0-7981-850b-362711c41fcb","0192ced0-a2c6-7323-be23-ce4124e683d3","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""We have in no way seen any Iraqi troops in the city or in its approaches , \"" a U.N. relief official told Reuters .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""U.N.\"",\""Reuters\""],\""location\"":[],\""miscellaneous\"":[\""Iraqi\""]}"",""parsed"":{""person"":[],""organization"":[""U.N."",""Reuters""],""location"":[],""miscellaneous"":[""Iraqi""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01935c42-01d0-7020-8657-b1e72901392b","0192ced0-a2b6-7083-8c26-c20166f26756","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""287 Ian Woosnam 70 76 71 70""}]}]}","{""raw"":""{\""person\"":[\""Ian Woosnam\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Ian Woosnam""],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193786f-14b0-7522-8657-d658c2603291","0192ced0-a2c7-7c83-96e1-bdec0d19cf59","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""\"" Last year we stood on the court after we had lost and we put out hands together and made it our committment to bring back the Cup , \"" U.S. captain Billie Jean King said at the draw . \""""}]}]}","{""raw"":""{\""person\"":[\""Billie Jean King\""],\""organization\"":[],\""location\"":[\""U.S.\""],\""miscellaneous\"":[\""Cup\""]}"",""parsed"":{""person"":[""Billie Jean King""],""organization"":[],""location"":[""U.S.""],""miscellaneous"":[""Cup""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01938e59-3fd0-7fc0-874c-113e955fd65d","0192ced0-949f-7193-8e91-baa3ee76e8e4","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""ATHLETICS - HARRISON , EDWARDS TO MEET IN SARAJEVO .""}]}]}","{""raw"":""{\""person\"":[\""HARRISON\"",\""EDWARDS\""],\""organization\"":[],\""location\"":[\""SARAJEVO\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""HARRISON"",""EDWARDS""],""organization"":[],""location"":[""SARAJEVO""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","019373bc-e6e0-7e50-8822-af9bacfafe9a","0192ced0-a2c6-7323-be23-ce1897dfcb38","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""6. Oksana Grichina ( Russia ) 36.242""}]}]}","{""raw"":""{\""person\"":[\""Oksana Grichina\""],\""organization\"":[],\""location\"":[\""Russia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Oksana Grichina""],""organization"":[],""location"":[""Russia""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01934ef3-d558-79d3-896e-c5d9fb89103d","0192ced0-a2c6-7323-be23-ce2a24429833","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4""}]}]}","{""raw"":""{\""person\"":[\""Sjeng Schalken\"",\""David Rikl\""],\""organization\"":[],\""location\"":[\""Netherlands\"",\""Czech Republic\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Sjeng Schalken"",""David Rikl""],""organization"":[],""location"":[""Netherlands"",""Czech Republic""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193917a-b3b0-78c3-89ea-020d8b84590e","0192ced0-949f-7193-8e91-bac43f3c3b38","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""SOCCER - AUSTRIA DOMINATE SCOTLAND IN WORLD CUP QUALIFIER .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""AUSTRIA\"",\""SCOTLAND\""],\""miscellaneous\"":[\""WORLD CUP\""]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""AUSTRIA"",""SCOTLAND""],""miscellaneous"":[""WORLD CUP""]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936cb1-a228-70d3-8cdf-3782b5184baa","0192ced0-a2b9-7e93-b3cd-cfa552758353","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Southend 1 Swindon 3""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[\""Southend\"",\""Swindon\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Southend"",""Swindon""],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01934c9a-be70-74e2-8e6d-8eb19531638c","0192ced0-a2b6-7083-8c26-c22a78a1b54d","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""Natalia Karimova ( Russia ) 3:40.036 beat Yvonne McGregor""}]}]}","{""raw"":""{\""person\"":[\""Natalia Karimova\"",\""Yvonne McGregor\""],\""organization\"":[],\""location\"":[\""Russia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Natalia Karimova"",""Yvonne McGregor""],""organization"":[],""location"":[""Russia""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","019396f5-3e78-7a63-8ec1-7cab9f8f804c","0192ced0-949d-7063-900d-a4e0d31e69c4","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""DETROIT 1996-08-31""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""DETROIT\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""DETROIT""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","01936990-2e48-7461-9115-7fd3b31d3891","0192ced0-a2c6-7323-be23-cd21b7b4f97f","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""9. Mauricio Gugelmin ( Brazil ) , Reynard Ford Cosworth , 54.762""}]}]}","{""raw"":""{\""person\"":[\""Mauricio Gugelmin\""],\""organization\"":[\""Reynard Ford Cosworth\""],\""location\"":[\""Brazil\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Mauricio Gugelmin""],""organization"":[""Reynard Ford Cosworth""],""location"":[""Brazil""],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
"foo","extract_entities","0193722c-2cf0-7c90-92d8-3af75369acfa","0192ced0-a2c6-7323-be23-ce0171b11a17","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":""But on Saturday the people gathered just outside the town seemed to be united in favour of the separatists .""}]}]}","{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[],""miscellaneous"":[]}}","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{""person"":{""type"":""array"",""items"":{""type"":""string""}},""organization"":{""type"":""array"",""items"":{""type"":""string""}},""location"":{""type"":""array"",""items"":{""type"":""string""}},""miscellaneous"":{""type"":""array"",""items"":{""type"":""string""}}},""required"":[""person"",""organization"",""location"",""miscellaneous""],""additionalProperties"":false}","{}","",false,"2025-02-19 00:25:29"
